date,climate_only_comments,covid_only_comments,co_mention_comments,co_mention_share_among_climate_comments,climate_only_comments_ma7,co_mention_share_among_climate_comments_ma7
2020-10-18,1525,29062,144,0.08627920910724984,1799.857142857143,0.09340148497035648
2020-10-19,1746,33130,209,0.10690537084398977,1823.5714285714287,0.09341082043212001
2020-10-20,1788,36026,241,0.11877772301626417,1825.0,0.09593446163724571
2020-10-21,1722,34182,201,0.10452418096723869,1734.142857142857,0.10068250054321651
2020-10-22,1974,33346,235,0.10638297872340426,1728.857142857143,0.10266449389359454
2020-10-23,2424,32963,266,0.09888475836431226,1802.142857142857,0.10362495648992145
2020-10-24,1601,30077,181,0.1015712682379349,1825.7142857142858,0.10333221275148484
2020-10-25,1779,31493,212,0.10647915620291311,1862.0,0.10621791947943672
2020-10-26,2268,38918,280,0.10989010989010989,1936.5714285714287,0.10664431077173961
2020-10-27,2453,38072,261,0.09616801768607222,2031.5714285714287,0.10341435286742648
2020-10-28,2296,41192,258,0.10101801096319499,2113.5714285714284,0.10291347143827737
2020-10-29,2326,39324,342,0.12818590704647675,2163.8571428571427,0.10602817548443058
2020-10-30,2408,35380,234,0.08856926570779712,2161.5714285714284,0.104554533676357
2020-10-31,1735,32834,219,0.1120777891504606,2180.714285714286,0.10605546523528923
2020-11-01,1444,33496,183,0.11247695144437615,2132.8571428571427,0.10691229312692682
2020-11-02,1847,37076,273,0.12877358490566038,2072.714285714286,0.1096099324148626
2020-11-03,2083,34903,272,0.11549893842887474,2019.857142857143,0.11237149252097725
2020-11-04,2573,35432,405,0.13599731363331094,2059.4285714285716,0.11736853575956525
2020-11-05,2276,33051,316,0.12191358024691358,2052.285714285714,0.11647248907391336
2020-11-06,1825,33876,251,0.12090558766859345,1969.0,0.12109196363974141
2020-11-07,1939,31648,338,0.1484409310496267,1998.142857142857,0.12628669819676513
2020-11-08,2226,33336,404,0.15361216730038021,2109.8571428571427,0.1321631576047657
2020-11-09,2039,37809,261,0.11347826086956522,2137.285714285714,0.12997811131389497
2020-11-10,1767,36395,199,0.10122075279755849,2092.1428571428573,0.12793837050942122
2020-11-11,1639,34547,187,0.10240963855421686,1958.7142857142858,0.12314013121240779
2020-11-12,1752,39023,217,0.11020822752666327,1883.857142857143,0.12146793796665775
2020-11-13,1910,40846,233,0.10872608492767148,1896.0,0.11972800900366888
2020-11-14,1497,35288,182,0.10839785586658725,1832.857142857143,0.11400756969180612
2020-11-15,1735,37964,265,0.1325,1762.7142857142858,0.11099154579175179
2020-11-16,1791,45366,245,0.12033398821218075,1727.2857142857142,0.11197093541212545
2020-11-17,2084,45490,235,0.10133678309616213,1772.5714285714287,0.11198751116906883
2020-11-18,2207,47197,328,0.12938856015779093,1853.7142857142858,0.11584164282672225
2020-11-19,1886,45408,253,0.11827956989247312,1872.857142857143,0.11699469173612366
2020-11-20,1501,44636,211,0.12324766355140188,1814.4285714285713,0.11906920296808517
2020-11-21,1588,37554,221,0.12216694306246545,1827.4285714285713,0.12103621542463919
2020-11-22,1432,36142,187,0.11550339715873996,1784.142857142857,0.11860812930445917
2020-11-23,1823,42436,200,0.09886307464162135,1788.7142857142858,0.1155408559372364
2020-11-24,1621,41212,185,0.10243632336655592,1722.5714285714287,0.11569793311872123
2020-11-25,1449,41369,222,0.13285457809694792,1614.2857142857142,0.1161930785386008
2020-11-26,1244,37680,158,0.11269614835948645,1522.5714285714287,0.11539544689103129
2020-11-27,1691,33824,187,0.09957401490947816,1549.7142857142858,0.11201349708504217
2020-11-28,1339,31989,155,0.1037483266398929,1514.142857142857,0.1093822661675318
2020-11-29,1123,34809,145,0.11435331230283911,1470.0,0.10921796833097455
2020-11-30,1504,39253,159,0.09561034275405893,1424.4285714285713,0.10875329234703705
2020-12-01,1532,42003,172,0.10093896713615023,1411.7142857142858,0.10853938431412195
2020-12-02,1473,40883,177,0.10727272727272727,1415.142857142857,0.10488483419637616
2020-12-03,1594,43718,195,0.10899944102850755,1465.142857142857,0.10435673314909345
2020-12-04,1598,41587,218,0.12004405286343613,1451.857142857143,0.10728102428537316
2020-12-05,1298,37223,144,0.09986130374479889,1446.0,0.10672573530035974
2020-12-06,1233,36102,151,0.10910404624277456,1461.7142857142858,0.10597584014892193
2020-12-07,1499,41727,212,0.12390414962010521,1461.0,0.11001781255835712
2020-12-08,1521,45763,186,0.10896309314586995,1459.4285714285713,0.11116411627403136
2020-12-09,1384,47125,163,0.10536522301228184,1446.7142857142858,0.11089161566539629
2020-12-10,1276,38930,153,0.10706787963610917,1401.2857142857142,0.1106156783236251
2020-12-11,1365,40474,160,0.10491803278688525,1368.0,0.10845481831268926
2020-12-12,1374,33463,159,0.10371819960861056,1378.857142857143,0.10900580343609093
2020-12-13,1536,34028,173,0.10122878876535986,1422.142857142857,0.10788076665360312
