date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death,climate_ma7,deaths_ma7
2020-10-04,1449,34703,157,36309,9.775840597758409,907,2014.0,669.5714285714286
2020-10-05,1608,42358,167,44133,9.408450704225352,565,1930.142857142857,655.4285714285714
2020-10-06,1592,46092,200,47884,11.160714285714286,598,1855.2857142857142,669.1428571428571
2020-10-07,1671,40252,204,42127,10.88,508,1616.7142857142858,684.5714285714286
2020-10-08,2562,39984,278,42824,9.788732394366196,635,1680.5714285714287,661.7142857142857
2020-10-09,1662,34534,163,36359,8.931506849315069,782,1678.4285714285713,675.4285714285714
2020-10-10,1655,28479,171,30305,9.36473165388828,735,1742.7142857142858,675.7142857142857
2020-10-11,1599,28967,165,30731,9.35374149659864,792,1764.142857142857,659.2857142857143
2020-10-12,1580,32645,189,34414,10.6840022611645,681,1760.142857142857,675.8571428571429
2020-10-13,1778,33628,200,35606,10.111223458038422,573,1786.7142857142858,672.2857142857143
2020-10-14,2358,33449,181,35988,7.128790862544308,497,1884.857142857143,670.7142857142857
2020-10-15,2011,34749,205,36965,9.250902527075812,652,1806.142857142857,673.1428571428571
2020-10-16,1911,31761,194,33866,9.216152019002376,821,1841.7142857142858,678.7142857142857
2020-10-17,1436,25867,166,27469,10.362047440699126,697,1810.4285714285713,673.2857142857143
2020-10-18,1525,29062,144,30731,8.627920910724985,880,1799.857142857143,685.8571428571429
2020-10-19,1746,33130,209,35085,10.690537084398976,693,1823.5714285714287,687.5714285714286
2020-10-20,1788,36026,241,38055,11.877772301626417,733,1825.0,710.4285714285714
2020-10-21,1722,34182,201,36105,10.452418096723868,612,1734.142857142857,726.8571428571429
2020-10-22,1974,33346,235,35555,10.638297872340424,791,1728.857142857143,746.7142857142857
2020-10-23,2424,32963,266,35653,9.888475836431226,1059,1802.142857142857,780.7142857142857
2020-10-24,1601,30077,181,31859,10.15712682379349,916,1825.7142857142858,812.0
2020-10-25,1779,31493,212,33484,10.647915620291313,919,1862.0,817.5714285714286
2020-10-26,2268,38918,280,41466,10.989010989010987,836,1936.5714285714287,838.0
2020-10-27,2453,38072,261,40786,9.616801768607225,601,2031.5714285714287,819.1428571428571
2020-10-28,2296,41192,258,43746,10.101801096319498,682,2113.5714285714284,829.1428571428571
2020-10-29,2326,39324,342,41992,12.818590704647676,896,2163.8571428571427,844.1428571428571
2020-10-30,2408,35380,234,38022,8.856926570779713,1063,2161.5714285714284,844.7142857142857
2020-10-31,1735,32834,219,34788,11.20777891504606,1110,2180.714285714286,872.4285714285714
2020-11-01,1444,33496,183,35123,11.247695144437616,908,2132.8571428571427,870.8571428571429
2020-11-02,1847,37076,273,39196,12.87735849056604,942,2072.714285714286,886.0
2020-11-03,2083,34903,272,37258,11.549893842887474,708,2019.857142857143,901.2857142857143
2020-11-04,2573,35432,405,38410,13.599731363331092,738,2059.4285714285716,909.2857142857143
2020-11-05,2276,33051,316,35643,12.191358024691358,1031,2052.285714285714,928.5714285714286
2020-11-06,1825,33876,251,35952,12.090558766859344,1298,1969.0,962.1428571428571
2020-11-07,1939,31648,338,33925,14.844093104962669,1227,1998.142857142857,978.8571428571429
2020-11-08,2226,33336,404,35966,15.361216730038022,1260,2109.8571428571427,1029.142857142857
2020-11-09,2039,37809,261,40109,11.347826086956522,1095,2137.285714285714,1051.0
2020-11-10,1767,36395,199,38361,10.12207527975585,882,2092.1428571428573,1075.857142857143
2020-11-11,1639,34547,187,36373,10.240963855421686,930,1958.7142857142858,1103.2857142857142
2020-11-12,1752,39023,217,40992,11.020822752666328,1674,1883.857142857143,1195.142857142857
2020-11-13,1910,40846,233,42989,10.872608492767148,1518,1896.0,1226.5714285714287
2020-11-14,1497,35288,182,36967,10.839785586658724,1347,1832.857142857143,1243.7142857142858
2020-11-15,1735,37964,265,39964,13.25,1271,1762.7142857142858,1245.2857142857142
2020-11-16,1791,45366,245,47402,12.033398821218077,1472,1727.2857142857142,1299.142857142857
2020-11-17,2084,45490,235,47809,10.133678309616212,1027,1772.5714285714287,1319.857142857143
2020-11-18,2207,47197,328,49732,12.938856015779091,1018,1853.7142857142858,1332.4285714285713
2020-11-19,1886,45408,253,47547,11.827956989247312,1591,1872.857142857143,1320.5714285714287
2020-11-20,1501,44636,211,46348,12.324766355140188,1833,1814.4285714285713,1365.5714285714287
2020-11-21,1588,37554,221,39363,12.216694306246543,1920,1827.4285714285713,1447.4285714285713
2020-11-22,1432,36142,187,37761,11.550339715873996,1959,1784.142857142857,1545.7142857142858
2020-11-23,1823,42436,200,44459,9.886307464162137,1724,1788.7142857142858,1581.7142857142858
2020-11-24,1621,41212,185,43018,10.243632336655592,1303,1722.5714285714287,1621.142857142857
2020-11-25,1449,41369,222,43040,13.285457809694792,1413,1614.2857142857142,1677.5714285714287
2020-11-26,1244,37680,158,39082,11.269614835948644,1889,1522.5714285714287,1720.142857142857
2020-11-27,1691,33824,187,35702,9.957401490947817,2289,1549.7142857142858,1785.2857142857142
2020-11-28,1339,31989,155,33483,10.37483266398929,1674,1514.142857142857,1750.142857142857
2020-11-29,1123,34809,145,36077,11.43533123028391,1658,1470.0,1707.142857142857
2020-11-30,1504,39253,159,40916,9.561034275405891,1506,1424.4285714285713,1676.0
2020-12-01,1532,42003,172,43707,10.093896713615024,1281,1411.7142857142858,1672.857142857143
2020-12-02,1473,40883,177,42533,10.727272727272728,1546,1415.142857142857,1691.857142857143
2020-12-03,1594,43718,195,45507,10.899944102850757,2379,1465.142857142857,1761.857142857143
2020-12-04,1598,41587,218,43403,12.004405286343612,2756,1451.857142857143,1828.5714285714287
2020-12-05,1298,37223,144,38665,9.986130374479888,2740,1446.0,1980.857142857143
2020-12-06,1233,36102,151,37486,10.910404624277456,2593,1461.7142857142858,2114.4285714285716
2020-12-07,1499,41727,212,43438,12.39041496201052,2376,1461.0,2238.714285714286
2020-12-08,1521,45763,186,47470,10.896309314586995,1588,1459.4285714285713,2282.5714285714284
2020-12-09,1384,47125,163,48672,10.536522301228183,1973,1446.7142857142858,2343.5714285714284
2020-12-10,1276,38930,153,40359,10.706787963610918,2561,1401.2857142857142,2369.5714285714284
2020-12-11,1365,40474,160,41999,10.491803278688524,3323,1368.0,2450.5714285714284
2020-12-12,1374,33463,159,34996,10.371819960861057,2705,1378.857142857143,2445.5714285714284
2020-12-13,1536,34028,173,35737,10.122878876535983,3188,1422.142857142857,2530.5714285714284
2020-12-14,1413,39589,149,41151,9.539052496798975,2440,1409.857142857143,2539.714285714286
2020-12-15,1506,38312,139,39957,8.44984802431611,2037,1407.7142857142858,2603.8571428571427
2020-12-16,1494,40597,171,42262,10.27027027027027,1955,1423.4285714285713,2601.285714285714
2020-12-17,1539,41234,175,42948,10.210035005834309,2758,1461.0,2629.4285714285716
2020-12-18,1667,39981,155,41803,8.507135016465423,3389,1504.142857142857,2638.8571428571427
2020-12-19,1240,36021,133,37394,9.68681718863802,3338,1485.0,2729.285714285714
2020-12-20,1111,38735,105,39951,8.634868421052632,2949,1424.2857142857142,2695.1428571428573
2020-12-21,1226,45394,175,46795,12.491077801570306,2727,1397.5714285714287,2736.1428571428573
2020-12-22,1271,43759,149,45179,10.492957746478874,2090,1364.0,2743.714285714286
2020-12-23,1156,42848,124,44128,9.6875,2129,1315.7142857142858,2768.5714285714284
2020-12-24,1001,33661,112,34774,10.062893081761008,2891,1238.857142857143,2787.5714285714284
2020-12-25,904,27580,96,28580,9.6,3238,1129.857142857143,2766.0
2020-12-26,1008,29941,85,31034,7.77676120768527,3021,1096.7142857142858,2720.714285714286
2020-12-27,1304,35795,125,37224,8.74737578726382,2237,1124.2857142857142,2619.0
2020-12-28,1573,38952,174,40699,9.959931310818543,1650,1173.857142857143,2465.1428571428573
2020-12-29,1237,42484,147,43868,10.621387283236992,1903,1169.0,2438.4285714285716
2020-12-30,1156,45549,181,46886,13.537771129394166,2180,1169.0,2445.714285714286
2020-12-31,1234,43991,185,45410,13.03735024665257,3351,1202.2857142857142,2511.4285714285716
2021-01-01,953,35394,139,36486,12.728937728937728,3763,1209.2857142857142,2586.4285714285716
2021-01-02,1140,41229,152,42521,11.76470588235294,3754,1228.142857142857,2691.1428571428573
2021-01-03,1290,41350,132,42772,9.282700421940929,3049,1226.142857142857,2807.1428571428573
2021-01-04,1378,45489,166,47033,10.751295336787564,2384,1198.2857142857142,2912.0
2021-01-05,1361,46953,176,48490,11.450878334417697,2044,1216.0,2932.1428571428573
2021-01-06,1538,42846,212,44596,12.114285714285716,2029,1270.5714285714287,2910.5714285714284
2021-01-07,1250,34317,178,35745,12.46498599439776,3496,1272.857142857143,2931.285714285714
2021-01-08,1280,37491,168,38939,11.60220994475138,3855,1319.5714285714287,2944.4285714285716
2021-01-09,1335,32975,138,34448,9.368635437881874,3978,1347.4285714285713,2976.4285714285716
2021-01-10,1503,33443,181,35127,10.748218527315917,3711,1377.857142857143,3071.0
2021-01-11,1240,37356,140,38736,10.144927536231885,3411,1358.142857142857,3217.714285714286
2021-01-12,1623,39959,152,41734,8.56338028169014,2555,1395.5714285714287,3290.714285714286
2021-01-13,1582,39814,169,41565,9.6516276413478,2534,1401.857142857143,3362.8571428571427
2021-01-14,1489,37723,167,39379,10.084541062801932,3600,1436.0,3377.714285714286
2021-01-15,1498,39336,173,41007,10.353081986834232,4066,1467.142857142857,3407.8571428571427
2021-01-16,1343,32485,144,33972,9.68392737054472,3762,1468.2857142857142,3377.0
2021-01-17,1486,33646,138,35270,8.497536945812808,3384,1465.857142857143,3330.285714285714
2021-01-18,1583,35074,170,36827,9.697661152310324,3549,1514.857142857143,3350.0
2021-01-19,1609,37642,150,39401,8.527572484366116,2600,1512.857142857143,3356.4285714285716
2021-01-20,1764,37264,266,39294,13.10344827586207,2250,1538.857142857143,3315.8571428571427
2021-01-21,2549,38733,254,41536,9.061719586157688,2738,1690.2857142857142,3192.714285714286
2021-01-22,2011,39660,178,41849,8.131566925536776,3826,1763.5714285714287,3158.4285714285716
2021-01-23,1361,34009,142,35512,9.44777112441783,3853,1766.142857142857,3171.4285714285716
2021-01-24,1477,33782,166,35425,10.1034692635423,3679,1764.857142857143,3213.5714285714284
2021-01-25,1509,39818,179,41506,10.604265402843602,3073,1754.2857142857142,3145.5714285714284
2021-01-26,1820,38773,180,40773,9.0,2477,1784.4285714285713,3128.0
2021-01-27,1644,38598,169,40411,9.321566464423608,2037,1767.2857142857142,3097.5714285714284
2021-01-28,1717,34806,167,36690,8.86411889596603,3576,1648.4285714285713,3217.285714285714
2021-01-29,1294,34108,136,35538,9.51048951048951,3950,1546.0,3235.0
2021-01-30,1119,31575,121,32815,9.758064516129032,3870,1511.4285714285713,3237.4285714285716
2021-01-31,1158,33115,111,34384,8.747044917257684,3266,1465.857142857143,3178.4285714285716
2021-02-01,1236,36926,141,38303,10.239651416122005,2827,1426.857142857143,3143.285714285714
2021-02-02,1441,36647,127,38215,8.099489795918368,2291,1372.7142857142858,3116.714285714286
2021-02-03,1504,36250,147,37901,8.903694730466384,2229,1352.7142857142858,3144.1428571428573
2021-02-04,1468,36876,140,38484,8.706467661691542,2947,1317.142857142857,3054.285714285714
2021-02-05,1353,39100,140,40593,9.377093101138648,3280,1325.5714285714287,2958.5714285714284
2021-02-06,1208,32608,103,33919,7.856598016781083,3127,1338.2857142857142,2852.4285714285716
2021-02-07,1379,30989,127,32495,8.432934926958831,3399,1369.857142857143,2871.4285714285716
2021-02-08,1385,36132,118,37635,7.850964737192283,2803,1391.142857142857,2868.0
2021-02-09,1486,38387,156,40029,9.500609013398297,1771,1397.5714285714287,2793.714285714286
2021-02-10,1317,35729,146,37192,9.979494190020509,1668,1370.857142857143,2713.5714285714284
2021-02-11,1513,35722,146,37381,8.800482218203737,2470,1377.2857142857142,2645.4285714285716
2021-02-12,1416,35176,138,36730,8.880308880308881,2813,1386.2857142857142,2578.714285714286
2021-02-13,1262,32177,117,33556,8.484408992023205,3252,1394.0,2596.5714285714284
2021-02-14,1241,30699,123,32063,9.017595307917889,5061,1374.2857142857142,2834.0
2021-02-15,1987,32518,139,34644,6.538099717779869,3316,1460.2857142857142,2907.285714285714
2021-02-16,3552,34301,160,38013,4.310344827586207,1572,1755.4285714285713,2878.8571428571427
2021-02-17,4259,34387,237,38883,5.27135231316726,1387,2175.714285714286,2838.714285714286
2021-02-18,3717,34677,199,38593,5.0817160367722165,1407,2490.5714285714284,2686.8571428571427
2021-02-19,3221,33619,229,37069,6.63768115942029,2181,2748.4285714285716,2596.5714285714284
2021-02-20,2285,29374,167,31826,6.810766721044045,2247,2894.5714285714284,2453.0
2021-02-21,1771,29942,154,31867,8.0,2322,2970.285714285714,2061.714285714286
2021-02-22,1927,34108,165,36200,7.88718929254302,1839,2961.714285714286,1850.7142857142858
