date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-11-01,1444,33496,183,35123,11.247695144437616,908
2020-11-02,1847,37076,273,39196,12.877358490566039,942
2020-11-03,2083,34903,272,37258,11.549893842887474,708
2020-11-04,2573,35432,405,38410,13.599731363331093,738
2020-11-05,2276,33051,316,35643,12.191358024691358,1031
2020-11-06,1825,33876,251,35952,12.090558766859345,1298
2020-11-07,1939,31648,338,33925,14.844093104962669,1227
2020-11-08,2226,33336,404,35966,15.361216730038022,1260
2020-11-09,2039,37809,261,40109,11.347826086956522,1095
2020-11-10,1767,36395,199,38361,10.12207527975585,882
2020-11-11,1639,34547,187,36373,10.240963855421686,930
2020-11-12,1752,39023,217,40992,11.020822752666328,1674
2020-11-13,1910,40846,233,42989,10.872608492767148,1518
2020-11-14,1497,35288,182,36967,10.839785586658724,1347
2020-11-15,1735,37964,265,39964,13.25,1271
2020-11-16,1791,45366,245,47402,12.033398821218075,1472
2020-11-17,2084,45490,235,47809,10.133678309616213,1027
2020-11-18,2207,47197,328,49732,12.938856015779093,1018
2020-11-19,1886,45408,253,47547,11.827956989247312,1591
2020-11-20,1501,44636,211,46348,12.324766355140188,1833
2020-11-21,1588,37554,221,39363,12.216694306246545,1920
2020-11-22,1432,36142,187,37761,11.550339715873996,1959
2020-11-23,1823,42436,200,44459,9.886307464162135,1724
2020-11-24,1621,41212,185,43018,10.243632336655592,1303
2020-11-25,1449,41369,222,43040,13.285457809694792,1413
2020-11-26,1244,37680,158,39082,11.269614835948644,1889
2020-11-27,1691,33824,187,35702,9.957401490947817,2289
2020-11-28,1339,31989,155,33483,10.37483266398929,1674
2020-11-29,1123,34809,145,36077,11.43533123028391,1658
2020-11-30,1504,39253,159,40916,9.561034275405893,1506
2020-12-01,1532,42003,172,43707,10.093896713615024,1281
2020-12-02,1473,40883,177,42533,10.727272727272727,1546
2020-12-03,1594,43718,195,45507,10.899944102850755,2379
2020-12-04,1598,41587,218,43403,12.004405286343612,2756
2020-12-05,1298,37223,144,38665,9.986130374479888,2740
2020-12-06,1233,36102,151,37486,10.910404624277456,2593
2020-12-07,1499,41727,212,43438,12.39041496201052,2376
2020-12-08,1521,45763,186,47470,10.896309314586995,1588
2020-12-09,1384,47125,163,48672,10.536522301228183,1973
2020-12-10,1276,38930,153,40359,10.706787963610918,2561
2020-12-11,1365,40474,160,41999,10.491803278688524,3323
2020-12-12,1374,33463,159,34996,10.371819960861057,2705
2020-12-13,1536,34028,173,35737,10.122878876535985,3188
2020-12-14,1413,39589,149,41151,9.539052496798977,2440
2020-12-15,1506,38312,139,39957,8.44984802431611,2037
2020-12-16,1494,40597,171,42262,10.27027027027027,1955
2020-12-17,1539,41234,175,42948,10.210035005834307,2758
2020-12-18,1667,39981,155,41803,8.507135016465423,3389
2020-12-19,1240,36021,133,37394,9.68681718863802,3338
2020-12-20,1111,38735,105,39951,8.634868421052632,2949
2020-12-21,1226,45394,175,46795,12.491077801570306,2727
2020-12-22,1271,43759,149,45179,10.492957746478874,2090
2020-12-23,1156,42848,124,44128,9.6875,2129
2020-12-24,1001,33661,112,34774,10.062893081761008,2891
2020-12-25,904,27580,96,28580,9.6,3238
2020-12-26,1008,29941,85,31034,7.77676120768527,3021
